,f_statistic,p_value,eta_squared,significativo,n_grupos,n_total
zscore_desarrollo_comunicacion,25.289498145572686,4.658829149327777e-33,0.09346568711276533,True,8,1725
zscore_desarrollo_motricidad_gruesa,18.0194013990692,3.0886694447704954e-23,0.06843543982123455,True,8,1725
zscore_desarrollo_motricidad_fina,14.522017999894267,1.818371521393904e-18,0.055895249429798004,True,8,1725
zscore_desarrollo_resolucion_problemas,4.990568250316612,1.3104539122864477e-05,0.019940236444890246,True,8,1725
zscore_desarrollo_socio_individual,15.922661106199627,2.2248692202002694e-20,0.0609576974027324,True,8,1725
