dominio,chi2,p_value,grados_libertad,cramers_v,significativo
Riesgo Global,192.50387466213294,3.399153523699354e-30,20,0.3340605470262799,True
Comunicación,76.21007611799628,1.7102247372799875e-08,20,0.21018980534579262,True
Motricidad Gruesa,176.18519607518618,5.404537567929984e-27,20,0.3195877744076462,True
Motricidad Fina,157.8970676827453,1.9107892903453694e-23,20,0.30254674347941224,True
Resolución de Problemas,83.1288025519301,1.1484251848507995e-09,20,0.21952359821903417,True
Desarrollo Socio-Individual,109.91865535568706,2.0322943783118802e-14,20,0.25243010839930574,True
