predictor,domain,chi2_statistic,p_value,degrees_of_freedom,cramers_v,n_observations,contingency_table,p_value_bonferroni
vitamina_a_6-12_meses,cat_zscore_desarrollo_motricidad_gruesa,81.15747065703636,9.902627430689832e-17,4,0.0,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitamina_a_6-12_meses                                                                                                                         
FALSO                                                     398                                         11                                    64
VERDADERO                                                 924                                         19                                   145
NaN                                                       115                                         24                                    25",2.8717619549000513e-15
vitamina_a_12-18_meses,cat_zscore_desarrollo_motricidad_gruesa,20.961316528916687,0.000322310711509629,4,0.027715649770937285,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitamina_a_12-18_meses                                                                                                                        
FALSO                                                     445                                         16                                    75
VERDADERO                                                 606                                         12                                   113
NaN                                                       386                                         26                                    46",0.009347010633779242
vitamina_a_12-18_meses,cat_zscore_desarrollo_motricidad_fina,19.0460684568635,0.0007697323984872755,4,0.0,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitamina_a_12-18_meses                                                                                                                      
FALSO                                                   495                                          8                                    33
VERDADERO                                               685                                          7                                    39
NaN                                                     397                                          9                                    52",0.02232223955613099
vitamina_a_18-24_meses,cat_zscore_desarrollo_motricidad_gruesa,15.928155325519256,0.003117099231864811,4,0.0,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitamina_a_18-24_meses                                                                                                                        
FALSO                                                     389                                         12                                    72
VERDADERO                                                 460                                          9                                    85
NaN                                                       588                                         33                                    77",0.09039587772407952
vitamina_a_18-24_meses,cat_zscore_desarrollo_motricidad_fina,20.70130181507224,0.0003629026953313682,4,0.08948078048426489,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitamina_a_18-24_meses                                                                                                                      
FALSO                                                   429                                          8                                    36
VERDADERO                                               530                                          4                                    20
NaN                                                     618                                         12                                    68",0.010524178164609677
vitaminas_minerales_6-12_meses,cat_zscore_desarrollo_motricidad_gruesa,80.87341782801529,1.1374850746797875e-16,4,0.0,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitaminas_minerales_6-12_meses                                                                                                                
FALSO                                                     407                                         10                                    66
VERDADERO                                                 915                                         20                                   143
NaN                                                       115                                         24                                    25",3.298706716571384e-15
vitaminas_minerales_12-18_meses,cat_zscore_desarrollo_motricidad_gruesa,28.88142145644714,8.263162676766042e-06,4,0.08907566779690698,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitaminas_minerales_12-18_meses                                                                                                               
FALSO                                                     394                                         18                                    86
VERDADERO                                                 657                                         10                                   102
NaN                                                       386                                         26                                    46",0.0002396317176262152
vitaminas_minerales_12-18_meses,cat_zscore_desarrollo_motricidad_fina,20.025553409544234,0.0004936318372267428,4,0.01882139703173618,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitaminas_minerales_12-18_meses                                                                                                             
FALSO                                                   470                                          6                                    22
VERDADERO                                               710                                          9                                    50
NaN                                                     397                                          9                                    52",0.014315323279575541
vitaminas_minerales_18-24_meses,cat_zscore_desarrollo_motricidad_gruesa,18.287711705086426,0.00108411893313465,4,0.04009726624480163,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitaminas_minerales_18-24_meses                                                                                                               
FALSO                                                     382                                         13                                    79
VERDADERO                                                 467                                          8                                    78
NaN                                                       588                                         33                                    77",0.03143944906090485
vitaminas_minerales_18-24_meses,cat_zscore_desarrollo_motricidad_fina,16.316117418607902,0.002623031722019855,4,0.051327926851372475,1725,"cat_zscore_desarrollo_motricidad_fina  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
vitaminas_minerales_18-24_meses                                                                                                             
FALSO                                                   434                                          7                                    33
VERDADERO                                               525                                          5                                    23
NaN                                                     618                                         12                                    68",0.0760679199385758
retardo_crecimiento,cat_zscore_desarrollo_motricidad_gruesa,5.307366628235902,0.07039146111757975,2,0.04379216660592408,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
retardo_crecimiento                                                                                                                           
No                                                       1288                                         47                                   198
Sí                                                        149                                          7                                    36",1.0
hospitalizado_neonatal,cat_zscore_desarrollo_motricidad_gruesa,2.0088031700766567,0.36626374694357444,2,0.0021055500409460194,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
hospitalizado_neonatal                                                                                                                        
No                                                       1271                                         45                                   202
Sí                                                        166                                          9                                    32",1.0
hospitalizado_infancia,cat_zscore_desarrollo_motricidad_gruesa,3.135074635340417,0.20855816294626514,2,0.025646116154436554,1725,"cat_zscore_desarrollo_motricidad_gruesa  Adequate development  High risk of neurodevelopmental disorders  Risk of neurodevelopmental disorders
hospitalizado_infancia                                                                                                                        
No                                                       1249                                         45                                   194
Sí                                                        188                                          9                                    40",1.0
