"dominio","f_statistic","p_value","eta_squared","significativo","n_total"
"Comunicación",25.2894981455729,4.65882914932376e-33,0.0934656871127661,TRUE,1725
"Motricidad Gruesa",18.0194013990694,3.08866944476772e-23,0.0684354398212353,TRUE,1725
"Motricidad Fina",14.5220179998945,1.81837152139205e-18,0.0558952494297988,TRUE,1725
"Resolución de Problemas",4.99056825031668,1.3104539122859e-05,0.0199402364448905,TRUE,1725
"Desarrollo Socio-Individual",15.9226611061996,2.22486922019959e-20,0.0609576974027324,TRUE,1725
