,levene_stat,levene_p,bartlett_stat,bartlett_p,homogeneo_levene,homogeneo_bartlett
zscore_desarrollo_comunicacion,15.479382912776943,8.960169140637702e-20,81.05303968401165,8.399808472565102e-15,False,False
zscore_desarrollo_motricidad_gruesa,10.506259769910969,5.511567063356554e-13,139.88503154611317,5.372842701569562e-27,False,False
zscore_desarrollo_motricidad_fina,7.2268207334261545,1.4914434707236694e-08,79.40867881965481,1.8182149420967556e-14,False,False
zscore_desarrollo_resolucion_problemas,3.0429427501230153,0.003484686627048012,39.68072535832204,1.4488615825951037e-06,False,False
zscore_desarrollo_socio_individual,3.4590508731731227,0.0011034117944378225,47.239924000492316,5.0116664818135965e-08,False,False
