dominio,chi2_statistic,p_value,degrees_freedom,cramer_v,significativo
Comunicación,57.767443432060574,4.2062045456812626e-10,7,0.18299828688841077,True
Motricidad Gruesa,87.08669214643868,4.899584048093043e-16,7,0.22468876012268993,True
Motricidad Fina,47.754850951187635,3.9758886725224384e-08,7,0.1663850100396844,True
Resolución de Problemas,31.86730939828182,4.2981997010249805e-05,7,0.13591836722727577,True
Desarrollo Socio-Individual,65.68855629982708,1.0933655260834865e-11,7,0.19514180098752135,True
Riesgo Global,51.12465542360343,8.683163879050629e-09,7,0.17215539900040167,True
