"dominio","chi2_statistic","p_value","degrees_freedom","cramer_v","significativo"
"Comunicación",57.7674434320606,4.20620454568126e-10,7,0.182998286888411,TRUE
"Motricidad Gruesa",87.0866921464387,4.89958404809304e-16,7,0.22468876012269,TRUE
"Motricidad Fina",47.7548509511876,3.97588867252245e-08,7,0.166385010039684,TRUE
"Resolución de Problemas",31.8673093982818,4.29819970102499e-05,7,0.135918367227276,TRUE
"Desarrollo Socio-Individual",65.6885562998271,1.09336552608349e-11,7,0.195141800987521,TRUE
"Riesgo Global",51.1246554236034,8.68316387905064e-09,7,0.172155399000402,TRUE
