edad_meses,n_total,riesgo_global_n,riesgo_global_pct,zscore_desarrollo_comunicacion_n,zscore_desarrollo_comunicacion_pct,zscore_desarrollo_motricidad_gruesa_n,zscore_desarrollo_motricidad_gruesa_pct,zscore_desarrollo_motricidad_fina_n,zscore_desarrollo_motricidad_fina_pct,zscore_desarrollo_resolucion_problemas_n,zscore_desarrollo_resolucion_problemas_pct,zscore_desarrollo_socio_individual_n,zscore_desarrollo_socio_individual_pct
2.0,82,30,36.58536585365854,5,6.097560975609756,22,26.82926829268293,5,6.097560975609756,9,10.975609756097562,12,14.634146341463413
4.0,82,43,52.4390243902439,12,14.634146341463413,27,32.926829268292686,9,10.975609756097562,8,9.75609756097561,5,6.097560975609756
6.0,99,14,14.14141414141414,1,1.0101010101010102,3,3.0303030303030303,2,2.0202020202020203,2,2.0202020202020203,6,6.0606060606060606
8.0,69,44,63.76811594202898,2,2.898550724637681,14,20.28985507246377,25,36.231884057971016,16,23.18840579710145,9,13.043478260869565
9.0,61,9,14.754098360655737,0,0.0,2,3.278688524590164,4,6.557377049180328,2,3.278688524590164,2,3.278688524590164
10.0,65,20,30.76923076923077,1,1.5384615384615385,4,6.153846153846154,16,24.615384615384617,6,9.230769230769232,1,1.5384615384615385
12.0,145,25,17.24137931034483,0,0.0,13,8.96551724137931,8,5.517241379310345,8,5.517241379310345,1,0.6896551724137931
14.0,74,9,12.162162162162163,1,1.3513513513513513,5,6.756756756756757,5,6.756756756756757,2,2.7027027027027026,5,6.756756756756757
16.0,62,32,51.61290322580645,1,1.6129032258064515,22,35.483870967741936,8,12.903225806451612,6,9.67741935483871,0,0.0
18.0,86,42,48.837209302325576,1,1.1627906976744187,26,30.23255813953488,20,23.25581395348837,6,6.976744186046512,0,0.0
20.0,67,31,46.26865671641791,5,7.462686567164178,21,31.343283582089555,8,11.940298507462686,5,7.462686567164178,8,11.940298507462686
22.0,83,14,16.867469879518072,4,4.819277108433735,6,7.228915662650602,4,4.819277108433735,3,3.614457831325301,11,13.253012048192772
24.0,89,44,49.43820224719101,5,5.617977528089887,27,30.337078651685395,14,15.730337078651685,2,2.247191011235955,10,11.235955056179774
27.0,89,11,12.359550561797752,5,5.617977528089887,3,3.3707865168539324,2,2.247191011235955,3,3.3707865168539324,3,3.3707865168539324
30.0,73,16,21.91780821917808,7,9.58904109589041,4,5.47945205479452,3,4.10958904109589,1,1.36986301369863,4,5.47945205479452
33.0,81,20,24.691358024691358,6,7.4074074074074066,13,16.049382716049383,3,3.7037037037037033,2,2.4691358024691357,2,2.4691358024691357
36.0,102,44,43.13725490196079,10,9.803921568627452,28,27.450980392156865,3,2.941176470588235,14,13.725490196078432,14,13.725490196078432
42.0,89,37,41.57303370786517,1,1.1235955056179776,31,34.831460674157306,4,4.49438202247191,1,1.1235955056179776,5,5.617977528089887
48.0,89,31,34.831460674157306,14,15.730337078651685,6,6.741573033707865,3,3.3707865168539324,17,19.101123595505616,1,1.1235955056179776
54.0,79,21,26.582278481012654,10,12.658227848101266,6,7.59493670886076,1,1.2658227848101267,7,8.860759493670885,8,10.126582278481013
60.0,59,33,55.932203389830505,6,10.16949152542373,5,8.47457627118644,1,1.694915254237288,8,13.559322033898304,18,30.508474576271187
