"diff","lwr","upr","p adj","comparison","significativo"
0.244592140439208,0.0362865318587894,0.452897749019626,0.00897507434683908,"12-18m-0-6m",TRUE
-0.288150715106621,-0.51381956250294,-0.0624818677103016,0.0027921805436244,"36-48m-0-6m",TRUE
-0.536219904919376,-0.858030651996376,-0.214409157842376,1.30229537264048e-05,"60m+-0-6m",TRUE
-0.412981559639563,-0.609986248282056,-0.215976870997071,7.15019032870856e-09,"36-48m-6-12m",TRUE
-0.661050749452318,-0.963452097988,-0.358649400916636,1.22742283004129e-09,"60m+-6-12m",TRUE
-0.198766282646724,-0.385934520669975,-0.0115980446234737,0.0282386255478027,"18-24m-12-18m",TRUE
-0.198448046992246,-0.370280059782631,-0.0266160342018605,0.0110396402602736,"24-36m-12-18m",TRUE
-0.532742855545828,-0.731534074897717,-0.33395163619394,3.888889210657e-12,"36-48m-12-18m",TRUE
-0.25739786053212,-0.46413162436714,-0.0506640966971003,0.00405623382723208,"48-60m-12-18m",TRUE
-0.780812045358583,-1.08438028668248,-0.477243804034685,4.13313827607453e-12,"60m+-12-18m",TRUE
-0.333976572899104,-0.54029465607131,-0.127658489726899,2.70344652606447e-05,"36-48m-18-24m",TRUE
-0.582045762711859,-0.890595401656595,-0.273496123767123,3.40505334039953e-07,"60m+-18-24m",TRUE
-0.334294808553583,-0.526808295714145,-0.14178132139302,4.26518546881027e-06,"36-48m-24-36m",TRUE
-0.582363998366338,-0.881858858068125,-0.28286913866455,1.21350450466018e-07,"60m+-24-36m",TRUE
0.275344995013708,0.0511262374832141,0.499563752544203,0.00493396532216706,"48-60m-36-48m",TRUE
-0.523414184826463,-0.84420972637527,-0.202618643277656,2.22270684994141e-05,"60m+-48-60m",TRUE
