"diff","lwr","upr","p adj","comparison","significativo"
-0.271749142207538,-0.490715301305598,-0.0527829831094786,0.00424882478592825,"18-24m-0-6m",TRUE
0.286935946573745,0.0504978756871177,0.523374017460373,0.00581065844475814,"48-60m-0-6m",TRUE
0.324836470371286,0.152344298755644,0.497328641986929,3.60096184093273e-07,"24-36m-6-12m",TRUE
0.286978624853088,0.0868056466307474,0.487151603075429,0.000382213766626172,"36-48m-6-12m",TRUE
0.444377721088439,0.236064126990238,0.65269131518664,3.48919093617894e-09,"48-60m-6-12m",TRUE
-0.263529094034629,-0.453707428834225,-0.0733507592350335,0.000720426997169343,"18-24m-12-18m",TRUE
0.175614744029502,0.00101927632157373,0.35021021173743,0.0474716559710866,"24-36m-12-18m",TRUE
0.295155994746654,0.0850974753726947,0.505214514120614,0.000558836459545908,"48-60m-12-18m",TRUE
0.439143838064131,0.255754511881467,0.622533164246795,1.94025906452566e-11,"24-36m-18-24m",TRUE
0.401285992545932,0.19164983893818,0.610922146153685,2.08543704638409e-07,"36-48m-18-24m",TRUE
0.558685088781283,0.341262345777793,0.776107831784773,4.14446255092571e-12,"48-60m-18-24m",TRUE
-0.34830627522195,-0.674260948660228,-0.0223516017836719,0.0264997255234121,"60m+-48-60m",TRUE
