"diff","lwr","upr","p adj","comparison","significativo"
0.759451534760252,0.521343485868006,0.997559583652498,3.84492437888184e-12,"6-12m-0-6m",TRUE
0.476517103550041,0.236444916949134,0.716589290150949,5.82141295168981e-08,"12-18m-0-6m",TRUE
0.257545028937575,0.00918082820321645,0.505909229671934,0.035752616597559,"18-24m-0-6m",TRUE
0.420480509844255,0.187302925435676,0.653658094252834,1.41692330835053e-06,"24-36m-0-6m",TRUE
0.292123809219771,0.0320404921581208,0.552207126281421,0.0153746029710042,"36-48m-0-6m",TRUE
0.629669817073167,0.361487953990694,0.897851680155641,4.65054661447084e-11,"48-60m-0-6m",TRUE
0.595896300124021,0.225009456274971,0.966783143973071,3.24394718895782e-05,"60m+-0-6m",TRUE
-0.282934431210211,-0.486753129574813,-0.079115732845608,0.000697642252297626,"12-18m-6-12m",TRUE
-0.501906505822677,-0.71542976738946,-0.288383244255893,4.41315872734549e-11,"18-24m-6-12m",TRUE
-0.338971024915997,-0.534621715930162,-0.143320333901832,4.54634223223671e-06,"24-36m-6-12m",TRUE
-0.467327725540481,-0.694375603393349,-0.240279847687613,1.47986032317249e-08,"36-48m-6-12m",TRUE
-0.218972074612466,-0.434683444415232,-0.00326070480969978,0.0436772546183862,"18-24m-12-18m",TRUE
0.372124788135592,0.125511220039205,0.618738356231979,0.000135213620879093,"48-60m-18-24m",TRUE
0.337546007853397,0.0791339191721485,0.595958096534645,0.00196006464274212,"48-60m-36-48m",TRUE
