independent_var,dependent_var,test_type,f_statistic,p_value,significant,group_stats,assumptions,post_hoc_info,sample_size
edad_anos_padre,zscore_desarrollo_comunicacion,ANOVA,0.3710715309260563,0.8293808365801043,False,"{'≤25 años': {'n': 422, 'mean': np.float64(0.10310355450236967), 'std': np.float64(0.6872792568350194), 'risk_classification': {'normal': 396, 'riesgo': 26, 'pct_normal': 93.8388625592417, 'pct_riesgo': 6.161137440758294}}, '26-30 años': {'n': 473, 'mean': np.float64(0.09024291754756872), 'std': np.float64(0.6760991339574989), 'risk_classification': {'normal': 447, 'riesgo': 26, 'pct_normal': 94.5031712473573, 'pct_riesgo': 5.496828752642706}}, '31-35 años': {'n': 417, 'mean': np.float64(0.1194971223021583), 'std': np.float64(0.7102428355318984), 'risk_classification': {'normal': 396, 'riesgo': 21, 'pct_normal': 94.96402877697841, 'pct_riesgo': 5.0359712230215825}}, '36-40 años': {'n': 251, 'mean': np.float64(0.1407199203187251), 'std': np.float64(0.6496355203970867), 'risk_classification': {'normal': 242, 'riesgo': 9, 'pct_normal': 96.41434262948208, 'pct_riesgo': 3.5856573705179287}}, '>40 años': {'n': 111, 'mean': np.float64(0.0639117117117117), 'std': np.float64(0.6884882072983253), 'risk_classification': {'normal': 103, 'riesgo': 8, 'pct_normal': 92.7927927927928, 'pct_riesgo': 7.207207207207207}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1674
edad_anos_padre,zscore_desarrollo_motricidad_gruesa,ANOVA,1.224973770139082,0.29817338350719164,False,"{'≤25 años': {'n': 422, 'mean': np.float64(-0.2982594786729858), 'std': np.float64(0.7817567199034601), 'risk_classification': {'normal': 346, 'riesgo': 76, 'pct_normal': 81.99052132701422, 'pct_riesgo': 18.009478672985782}}, '26-30 años': {'n': 473, 'mean': np.float64(-0.2018338266384778), 'std': np.float64(0.8115128669191686), 'risk_classification': {'normal': 405, 'riesgo': 68, 'pct_normal': 85.62367864693447, 'pct_riesgo': 14.376321353065538}}, '31-35 años': {'n': 417, 'mean': np.float64(-0.3056107913669065), 'std': np.float64(0.8521400705630665), 'risk_classification': {'normal': 343, 'riesgo': 74, 'pct_normal': 82.25419664268586, 'pct_riesgo': 17.74580335731415}}, '36-40 años': {'n': 251, 'mean': np.float64(-0.3050800796812749), 'std': np.float64(0.8988583424331076), 'risk_classification': {'normal': 208, 'riesgo': 43, 'pct_normal': 82.86852589641434, 'pct_riesgo': 17.131474103585656}}, '>40 años': {'n': 111, 'mean': np.float64(-0.2669738738738739), 'std': np.float64(0.8261676829259423), 'risk_classification': {'normal': 94, 'riesgo': 17, 'pct_normal': 84.68468468468468, 'pct_riesgo': 15.315315315315313}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1674
edad_anos_padre,zscore_desarrollo_motricidad_fina,ANOVA,1.7404506815191931,0.13847443845650317,False,"{'≤25 años': {'n': 422, 'mean': np.float64(-0.12183838862559242), 'std': np.float64(0.690677160195304), 'risk_classification': {'normal': 379, 'riesgo': 43, 'pct_normal': 89.81042654028435, 'pct_riesgo': 10.189573459715639}}, '26-30 años': {'n': 473, 'mean': np.float64(-0.07788329809725157), 'std': np.float64(0.7348868661316709), 'risk_classification': {'normal': 436, 'riesgo': 37, 'pct_normal': 92.17758985200845, 'pct_riesgo': 7.822410147991543}}, '31-35 años': {'n': 417, 'mean': np.float64(-0.06279424460431654), 'std': np.float64(0.7206766155478926), 'risk_classification': {'normal': 385, 'riesgo': 32, 'pct_normal': 92.32613908872902, 'pct_riesgo': 7.673860911270983}}, '36-40 años': {'n': 251, 'mean': np.float64(0.02473745019920318), 'std': np.float64(0.7306311078183522), 'risk_classification': {'normal': 234, 'riesgo': 17, 'pct_normal': 93.22709163346613, 'pct_riesgo': 6.772908366533864}}, '>40 años': {'n': 111, 'mean': np.float64(-0.030947747747747733), 'std': np.float64(0.7080527898715472), 'risk_classification': {'normal': 102, 'riesgo': 9, 'pct_normal': 91.8918918918919, 'pct_riesgo': 8.108108108108109}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1674
edad_anos_padre,zscore_desarrollo_resolucion_problemas,ANOVA,1.0339613076780398,0.38827883187229895,False,"{'≤25 años': {'n': 422, 'mean': np.float64(-0.09470379146919432), 'std': np.float64(0.6605428712325827), 'risk_classification': {'normal': 389, 'riesgo': 33, 'pct_normal': 92.18009478672985, 'pct_riesgo': 7.819905213270142}}, '26-30 años': {'n': 473, 'mean': np.float64(-0.05041162790697675), 'std': np.float64(0.685476312912166), 'risk_classification': {'normal': 442, 'riesgo': 31, 'pct_normal': 93.44608879492601, 'pct_riesgo': 6.553911205073996}}, '31-35 años': {'n': 417, 'mean': np.float64(-0.06931294964028777), 'std': np.float64(0.6741677759076655), 'risk_classification': {'normal': 389, 'riesgo': 28, 'pct_normal': 93.28537170263789, 'pct_riesgo': 6.71462829736211}}, '36-40 años': {'n': 251, 'mean': np.float64(0.008758964143426291), 'std': np.float64(0.6814043021505828), 'risk_classification': {'normal': 240, 'riesgo': 11, 'pct_normal': 95.61752988047809, 'pct_riesgo': 4.382470119521913}}, '>40 años': {'n': 111, 'mean': np.float64(-0.0926153153153153), 'std': np.float64(0.6948782626145517), 'risk_classification': {'normal': 98, 'riesgo': 13, 'pct_normal': 88.28828828828829, 'pct_riesgo': 11.711711711711711}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1674
edad_anos_padre,zscore_desarrollo_socio_individual,ANOVA,0.09510338228453388,0.9840343589203513,False,"{'≤25 años': {'n': 422, 'mean': np.float64(0.011581753554502368), 'std': np.float64(0.7328438885350608), 'risk_classification': {'normal': 378, 'riesgo': 44, 'pct_normal': 89.57345971563981, 'pct_riesgo': 10.42654028436019}}, '26-30 años': {'n': 473, 'mean': np.float64(0.03847103594080336), 'std': np.float64(0.6892864066314764), 'risk_classification': {'normal': 445, 'riesgo': 28, 'pct_normal': 94.08033826638477, 'pct_riesgo': 5.9196617336152215}}, '31-35 años': {'n': 417, 'mean': np.float64(0.030612709832134283), 'std': np.float64(0.7198222346367851), 'risk_classification': {'normal': 390, 'riesgo': 27, 'pct_normal': 93.5251798561151, 'pct_riesgo': 6.474820143884892}}, '36-40 años': {'n': 251, 'mean': np.float64(0.03884741035856572), 'std': np.float64(0.7803980432723207), 'risk_classification': {'normal': 231, 'riesgo': 20, 'pct_normal': 92.03187250996015, 'pct_riesgo': 7.968127490039841}}, '>40 años': {'n': 111, 'mean': np.float64(0.025299099099099092), 'std': np.float64(0.6597201115205111), 'risk_classification': {'normal': 108, 'riesgo': 3, 'pct_normal': 97.2972972972973, 'pct_riesgo': 2.7027027027027026}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1674
grupo_etnico,zscore_desarrollo_comunicacion,ANOVA,3.180151023091778,0.07471382159703785,False,"{'Indígena': {'n': 741, 'mean': np.float64(0.07687611336032388), 'std': np.float64(0.6947404074663394), 'risk_classification': {'normal': 691, 'riesgo': 50, 'pct_normal': 93.25236167341431, 'pct_riesgo': 6.747638326585695}}, 'No indígena': {'n': 984, 'mean': np.float64(0.13676361788617883), 'std': np.float64(0.6871807200227811), 'risk_classification': {'normal': 937, 'riesgo': 47, 'pct_normal': 95.22357723577237, 'pct_riesgo': 4.776422764227642}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1725
grupo_etnico,zscore_desarrollo_motricidad_gruesa,ANOVA,0.38195042858409456,0.5366429225049734,False,"{'Indígena': {'n': 741, 'mean': np.float64(-0.2833592442645074), 'std': np.float64(0.8978318161362155), 'risk_classification': {'normal': 612, 'riesgo': 129, 'pct_normal': 82.5910931174089, 'pct_riesgo': 17.408906882591094}}, 'No indígena': {'n': 984, 'mean': np.float64(-0.25833221544715446), 'std': np.float64(0.7798358763793001), 'risk_classification': {'normal': 825, 'riesgo': 159, 'pct_normal': 83.84146341463415, 'pct_riesgo': 16.158536585365855}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1725
grupo_etnico,zscore_desarrollo_motricidad_fina,ANOVA,3.4721782176831533,0.06257909461514329,False,"{'Indígena': {'n': 741, 'mean': np.float64(-0.11494183535762482), 'std': np.float64(0.7672290393807181), 'risk_classification': {'normal': 669, 'riesgo': 72, 'pct_normal': 90.2834008097166, 'pct_riesgo': 9.7165991902834}}, 'No indígena': {'n': 984, 'mean': np.float64(-0.048917784552845525), 'std': np.float64(0.6978784259268447), 'risk_classification': {'normal': 908, 'riesgo': 76, 'pct_normal': 92.27642276422763, 'pct_riesgo': 7.723577235772358}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1725
grupo_etnico,zscore_desarrollo_resolucion_problemas,Welch's ANOVA,0.45171600302929116,0.5016281435667856,False,"{'Indígena': {'n': 741, 'mean': np.float64(-0.08085708502024291), 'std': np.float64(0.7399549141262591), 'risk_classification': {'normal': 674, 'riesgo': 67, 'pct_normal': 90.95816464237517, 'pct_riesgo': 9.041835357624832}}, 'No indígena': {'n': 984, 'mean': np.float64(-0.0580839430894309), 'std': np.float64(0.6345419851610666), 'risk_classification': {'normal': 923, 'riesgo': 61, 'pct_normal': 93.80081300813008, 'pct_riesgo': 6.199186991869919}}}","{'normality': False, 'homogeneity': False, 'note': 'OK'}",,1725
grupo_etnico,zscore_desarrollo_socio_individual,ANOVA,0.4978089732456246,0.48055980100935025,False,"{'Indígena': {'n': 741, 'mean': np.float64(0.019432388663967612), 'std': np.float64(0.7480066721073578), 'risk_classification': {'normal': 675, 'riesgo': 66, 'pct_normal': 91.09311740890689, 'pct_riesgo': 8.906882591093117}}, 'No indígena': {'n': 984, 'mean': np.float64(0.04412378048780487), 'std': np.float64(0.6972583328070795), 'risk_classification': {'normal': 925, 'riesgo': 59, 'pct_normal': 94.0040650406504, 'pct_riesgo': 5.995934959349594}}}","{'normality': False, 'homogeneity': True, 'note': 'OK'}",,1725
