dominio,grupo_edad,n,shapiro_stat,shapiro_p,ks_stat,ks_p,normal_shapiro,normal_ks
zscore_desarrollo_comunicacion,0-6m,164,0.8783437167648325,2.6409017764033505e-10,0.2008780263066372,2.814328712701455e-06,False,False
zscore_desarrollo_comunicacion,6-12m,294,0.965774264764689,1.9461975483222394e-06,0.10303366912785206,0.003595832465140245,False,False
zscore_desarrollo_comunicacion,12-18m,281,0.9475573935635389,1.775297437049402e-08,0.11985181917723287,0.0005645723009555325,False,False
zscore_desarrollo_comunicacion,18-24m,236,0.9144886968226253,2.1524307408188845e-10,0.12295134658919993,0.0014418904705025574,False,False
zscore_desarrollo_comunicacion,24-36m,332,0.9629527000277371,1.8344630640185388e-07,0.12928762350716372,2.6815738693102502e-05,False,False
zscore_desarrollo_comunicacion,36-48m,191,0.878098561834246,2.5756687124059557e-11,0.11107375224931959,0.016547683738905066,False,False
zscore_desarrollo_comunicacion,48-60m,168,0.9488973999178878,9.029534233590564e-06,0.142763083717237,0.001886776067347068,False,False
zscore_desarrollo_comunicacion,60m+,59,0.8737887533531383,1.911271011390311e-05,0.24128262798007263,0.0016532965575114522,False,False
zscore_desarrollo_motricidad_gruesa,0-6m,164,0.8779898981273254,2.531986439705011e-10,0.17512081547547342,7.196383913079935e-05,False,False
zscore_desarrollo_motricidad_gruesa,6-12m,294,0.9716619306230693,1.4940865328485042e-05,0.10016796380968107,0.005080594390299411,False,False
zscore_desarrollo_motricidad_gruesa,12-18m,281,0.9336107691315677,6.653163934917145e-10,0.1268165236239744,0.0002127299497244349,False,False
zscore_desarrollo_motricidad_gruesa,18-24m,236,0.9143942623691659,2.1174615503215205e-10,0.13089183780782787,0.0005505740427570439,False,False
zscore_desarrollo_motricidad_gruesa,24-36m,332,0.9616489068522042,1.1896468366643915e-07,0.10459527746348521,0.0012889255968703286,False,False
zscore_desarrollo_motricidad_gruesa,36-48m,191,0.9304607192889676,6.530421807247325e-08,0.14361427889949585,0.0006693697862316891,False,False
zscore_desarrollo_motricidad_gruesa,48-60m,168,0.9034953865585578,4.806074341215905e-09,0.19127180591716153,7.403098279852454e-06,False,False
zscore_desarrollo_motricidad_gruesa,60m+,59,0.89884381563643,0.00013556383660893743,0.18492068489722463,0.03074426857228496,False,False
zscore_desarrollo_motricidad_fina,0-6m,164,0.9103582503938676,1.7442712405349844e-08,0.1467873684492082,0.001507791369696545,False,False
zscore_desarrollo_motricidad_fina,6-12m,294,0.9519412468827593,3.0976811195949236e-08,0.0970554883995931,0.007313807746762829,False,False
zscore_desarrollo_motricidad_fina,12-18m,281,0.9514012779127451,4.8105119043986594e-08,0.14147323348084545,2.2736320497386233e-05,False,False
zscore_desarrollo_motricidad_fina,18-24m,236,0.9152812714669636,2.470778133788137e-10,0.17672700244000666,6.428154443109123e-07,False,False
zscore_desarrollo_motricidad_fina,24-36m,332,0.9366707733233276,1.0764169717183354e-10,0.1334210964647089,1.2936284222049548e-05,False,False
zscore_desarrollo_motricidad_fina,36-48m,191,0.9223355302316707,1.586112809337471e-08,0.17637347298645595,1.1443529333899542e-05,False,False
zscore_desarrollo_motricidad_fina,48-60m,168,0.9228125957379663,8.563667915052834e-08,0.16978049326752365,0.00010555049437952848,False,False
zscore_desarrollo_motricidad_fina,60m+,59,0.9254909633081959,0.0014269668675046085,0.1758201564742885,0.04576716194413766,False,False
zscore_desarrollo_resolucion_problemas,0-6m,164,0.8893228369926253,1.0169657175490868e-09,0.17548751371409574,6.893822979202837e-05,False,False
zscore_desarrollo_resolucion_problemas,6-12m,294,0.9550583826169643,7.368752150519549e-08,0.10662144656429096,0.002300731262460032,False,False
zscore_desarrollo_resolucion_problemas,12-18m,281,0.9525823003469109,6.595452531740497e-08,0.11574977121361191,0.0009774377526271757,False,False
zscore_desarrollo_resolucion_problemas,18-24m,236,0.9280017640930501,2.5558062015663456e-09,0.105454517279511,0.009712000858842669,False,False
zscore_desarrollo_resolucion_problemas,24-36m,332,0.9569741769236164,2.6901896441517623e-08,0.1471958044406919,9.636105095734683e-07,False,False
zscore_desarrollo_resolucion_problemas,36-48m,191,0.9392535869841241,3.3879715537584884e-07,0.1493949787605774,0.00034718730451272097,False,False
zscore_desarrollo_resolucion_problemas,48-60m,168,0.9306179943732071,3.0985540191576135e-07,0.13822146635848037,0.002915299342817393,False,False
zscore_desarrollo_resolucion_problemas,60m+,59,0.89908764570763,0.00013832686672649695,0.13686775713407381,0.1997471707129933,False,True
zscore_desarrollo_socio_individual,0-6m,164,0.8686233448203066,8.537929327445926e-11,0.21094240318794855,7.002475654759814e-07,False,False
zscore_desarrollo_socio_individual,6-12m,294,0.9630262701408157,8.006680046967586e-07,0.10784296177465025,0.001969319837182339,False,False
zscore_desarrollo_socio_individual,12-18m,281,0.9681376356225687,6.9357489029085225e-06,0.09468368813842087,0.0121001231469747,False,False
zscore_desarrollo_socio_individual,18-24m,236,0.9563621395499269,1.4215799289241952e-06,0.09557872213256557,0.025039736803573298,False,False
zscore_desarrollo_socio_individual,24-36m,332,0.961767765410003,1.237121941271937e-07,0.12679210786536907,4.1175838943317354e-05,False,False
zscore_desarrollo_socio_individual,36-48m,191,0.9530069568377781,5.977496411720306e-06,0.13916523728047592,0.0010897668381949098,False,False
zscore_desarrollo_socio_individual,48-60m,168,0.9164563722569197,3.176952776193803e-08,0.10676795719556309,0.04023185561478726,False,False
zscore_desarrollo_socio_individual,60m+,59,0.90722098674661,0.00027485907314858004,0.17121416795619493,0.055544192716108776,False,True
