dominio,grupo_edad,n_total,n_riesgo,prevalencia_pct,odds_ratio,ci_lower,ci_upper,p_value,significativo
riesgo_global,0-6m,164,73,44.51219512195122,2.6132201132201134,1.7283474908481575,3.9511263772466054,7.279395151649248e-06,True
riesgo_global,12-18m,281,66,23.487544483985765,1.0,1.0,1.0,1.0,False
riesgo_global,18-24m,236,87,36.86440677966102,1.9020744356314827,1.298005472141297,2.7872664918079724,0.0010064591854050326,True
riesgo_global,24-36m,332,91,27.40963855421687,1.2300389790016346,0.8527168588504762,1.774323885073659,0.3070707324616048,False
riesgo_global,36-48m,191,81,42.40837696335078,2.3987603305785123,1.611114200847428,3.5714731584704347,1.9170964817941985e-05,True
riesgo_global,48-60m,168,52,30.952380952380953,1.4602925809822362,0.9519642425479874,2.240057269760599,0.09644436869494505,False
riesgo_global,6-12m,294,87,29.591836734693878,1.3691260430390866,0.9432999168913784,1.9871793563867317,0.10872539740738138,False
riesgo_global,60m+,59,33,55.932203389830505,4.134615384615385,2.3073355420991826,7.408997983511922,2.4617244779366425e-06,True
Comunicación,0-6m,164,17,10.365853658536585,16.132653061224488,3.6770212974812213,70.78079612215386,1.923177465036991e-06,True
Comunicación,12-18m,281,2,0.7117437722419928,1.0,1.0,1.0,1.0,False
Comunicación,18-24m,236,10,4.23728813559322,6.172566371681416,1.3388432837654942,28.4578307818481,0.015117869783030478,True
Comunicación,24-36m,332,23,6.927710843373494,10.383495145631068,2.4260099960534722,44.442096947142,4.883720785850903e-05,True
Comunicación,36-48m,191,11,5.7591623036649215,8.525,1.8677448045860379,38.91089661797113,0.0023381586184796034,True
Comunicación,48-60m,168,24,14.285714285714285,23.25,5.418570986439469,99.76108116933662,2.7912645345698696e-09,True
Comunicación,6-12m,294,4,1.3605442176870748,1.9241379310344828,0.34963301160958704,10.589122464728216,0.6863429881988092,False
Comunicación,60m+,59,6,10.16949152542373,15.79245283018868,3.1033240492766194,80.36594388261504,0.0004588926328921219,True
Motricidad Gruesa,0-6m,164,49,29.878048780487802,2.567173913043478,1.5995877875923254,4.120050147251189,0.000121038377313732,True
Motricidad Gruesa,12-18m,281,40,14.23487544483986,1.0,1.0,1.0,1.0,False
Motricidad Gruesa,18-24m,236,53,22.45762711864407,1.7449453551912568,1.1089915812178253,2.7455882841417916,0.016111699023594182,True
Motricidad Gruesa,24-36m,332,47,14.156626506024098,0.9935964912280701,0.6302670490160909,1.566374109073134,1.0,False
Motricidad Gruesa,36-48m,191,59,30.89005235602094,2.692992424242424,1.710123938300936,4.240750061795167,1.7801329141573237e-05,True
Motricidad Gruesa,48-60m,168,12,7.142857142857142,0.4634615384615385,0.2357798555621485,0.911004874106043,0.022843173174951624,True
Motricidad Gruesa,6-12m,294,23,7.8231292517006805,0.5113468634686347,0.2975509101460592,0.8787592504787153,0.016015474157025197,True
Motricidad Gruesa,60m+,59,5,8.47457627118644,0.5578703703703703,0.2103364218605288,1.4796265306040979,0.29391037315079405,False
Motricidad Fina,0-6m,164,14,8.536585365853659,1.1555555555555554,0.5706888890230556,2.3398188884686038,0.716965502190841,False
