tipo_analisis,descripcion,edad_meses,dominio,chi2,p_value,odds_ratio,ci_lower,ci_upper,ci_95,p_value_formatted,chi2_formatted,or_formatted
OR Edad-Específico,20.0 meses - Riesgo Global,20.0,Riesgo Global,,0.0237984979862466,1.7877241805813235,1.0939864469249088,2.9213869649104853,(1.09 - 2.92),0.024,N/A,1.79
OR Edad-Específico,20.0 meses - Motricidad Gruesa,20.0,Motricidad Gruesa,,0.0022927823934932,2.3783585735222275,1.3963659545945326,4.050936279013769,(1.40 - 4.05),0.002,N/A,2.38
OR Edad-Específico,22.0 meses - Riesgo Global,22.0,Riesgo Global,,0.001113466273892,0.3963090397247419,0.2211080720226635,0.7103352380163146,(0.22 - 0.71),0.001,N/A,0.40
OR Edad-Específico,22.0 meses - Motricidad Gruesa,22.0,Motricidad Gruesa,,0.0152487132675916,0.3757944183476098,0.162137419892801,0.8709984712633796,(0.16 - 0.87),0.015,N/A,0.38
OR Edad-Específico,22.0 meses - Desarrollo Socio-Individual,22.0,Desarrollo Socio-Individual,,0.046369232574997,2.04775828460039,1.0558251799357337,3.971598775854891,(1.06 - 3.97),0.046,N/A,2.05
OR Edad-Específico,24.0 meses - Riesgo Global,24.0,Riesgo Global,,0.0011016503825862,2.0633713561470217,1.344523367260366,3.1665506580545264,(1.34 - 3.17),0.001,N/A,2.06
OR Edad-Específico,24.0 meses - Motricidad Gruesa,24.0,Motricidad Gruesa,,0.0010923370572526,2.2942157953281423,1.4325870334108357,3.674070749475855,(1.43 - 3.67),0.001,N/A,2.29
OR Edad-Específico,24.0 meses - Motricidad Fina,24.0,Motricidad Fina,,0.0192514694417857,2.092338308457712,1.1513267646816072,3.8024648877596063,(1.15 - 3.80),0.019,N/A,2.09
OR Edad-Específico,27.0 meses - Riesgo Global,27.0,Riesgo Global,,7.560842816053801e-06,0.2717077198293656,0.1433448167618218,0.5150174710365634,(0.14 - 0.52),7.56e-06,N/A,0.27
OR Edad-Específico,27.0 meses - Motricidad Gruesa,27.0,Motricidad Gruesa,,0.000112906429564,0.1653610771113831,0.0519295934114802,0.5265646046323889,(0.05 - 0.53),1.13e-04,N/A,0.17
OR Edad-Específico,27.0 meses - Motricidad Fina,27.0,Motricidad Fina,,0.0297505674000547,0.2346087230357424,0.057161619128692,0.9629057707505342,(0.06 - 0.96),0.030,N/A,0.23
OR Edad-Específico,30.0 meses - Riesgo Global,30.0,Riesgo Global,,0.0417379027876689,0.556336690100703,0.3165626865001056,0.9777226626869124,(0.32 - 0.98),0.042,N/A,0.56
OR Edad-Específico,30.0 meses - Motricidad Gruesa,30.0,Motricidad Gruesa,,0.0059007831535189,0.2792406613594611,0.101088670597306,0.7713559441996186,(0.10 - 0.77),0.006,N/A,0.28
OR Edad-Específico,30.0 meses - Resolución de Problemas,30.0,Resolución de Problemas,,0.0388422959227479,0.1667760279965004,0.02298411368034,1.2101507981176172,(0.02 - 1.21),0.039,N/A,0.17
OR Edad-Específico,36.0 meses - Riesgo Global,36.0,Riesgo Global,,0.0297564382827931,1.5821423888816049,1.0548305935565423,2.373058341298302,(1.05 - 2.37),0.030,N/A,1.58
OR Edad-Específico,36.0 meses - Motricidad Gruesa,36.0,Motricidad Gruesa,,0.005636912491722,1.983575883575884,1.2589151740832667,3.1253680683998244,(1.26 - 3.13),0.006,N/A,1.98
OR Edad-Específico,36.0 meses - Motricidad Fina,36.0,Motricidad Fina,,0.0421703003095108,0.3088819226750261,0.0967122173108041,0.9865148872433348,(0.10 - 0.99),0.042,N/A,0.31
OR Edad-Específico,36.0 meses - Resolución de Problemas,36.0,Resolución de Problemas,,0.0184874460427916,2.1058612440191387,1.1612472793060302,3.818869295187511,(1.16 - 3.82),0.018,N/A,2.11
OR Edad-Específico,36.0 meses - Desarrollo Socio-Individual,36.0,Desarrollo Socio-Individual,,0.0162264664793461,2.167076167076167,1.1940951359001215,3.932868473138424,(1.19 - 3.93),0.016,N/A,2.17
