group1,group2,meandiff,p-adj,lower,upper,reject
0-6m,12-18m,0.2165,0.0253,0.0148,0.4182,True
0-6m,18-24m,0.2109,0.0454,0.0023,0.4195,True
0-6m,6-12m,0.2114,0.0297,0.0114,0.4114,True
12-18m,48-60m,-0.2339,0.0095,-0.4341,-0.0338,True
18-24m,48-60m,-0.2283,0.019,-0.4355,-0.0212,True
48-60m,6-12m,0.2288,0.0113,0.0303,0.4273,True
